cellI,x,y,z,V
357,0.05075,0.00075,0.001,5e-10
358,0.05125,0.00075,0.001,5e-10
359,0.05175,0.00075,0.001,5e-10
360,0.05225,0.00075,0.001,5e-10
361,0.05275,0.00075,0.001,5e-10
362,0.05325,0.00075,0.001,5e-10
363,0.05375,0.00075,0.001,5e-10
364,0.05425,0.00075,0.001,5e-10
365,0.05475,0.00075,0.001,5e-10
366,0.05525,0.00075,0.001,5e-10
367,0.05575,0.00075,0.001,5e-10
368,0.05625,0.00075,0.001,5e-10
369,0.05675,0.00075,0.001,5e-10
370,0.05725,0.00075,0.001,5e-10
371,0.05775,0.00075,0.001,5e-10
372,0.05825,0.00075,0.001,5e-10
373,0.05875,0.00075,0.001,5e-10
374,0.05925,0.00075,0.001,5e-10
375,0.05975,0.00075,0.001,5e-10
376,0.06025,0.00075,0.001,5e-10
377,0.06075,0.00075,0.001,5e-10
378,0.06125,0.00075,0.001,5e-10
379,0.06175,0.00075,0.001,5e-10
380,0.06225,0.00075,0.001,5e-10
381,0.06275,0.00075,0.001,5e-10
382,0.06325,0.00075,0.001,5e-10
383,0.06375,0.00075,0.001,5e-10
384,0.06425,0.00075,0.001,5e-10
385,0.06475,0.00075,0.001,5e-10
386,0.06525,0.00075,0.001,5e-10
387,0.06575,0.00075,0.001,5e-10
388,0.06625,0.00075,0.001,5e-10
389,0.06675,0.00075,0.001,5e-10
390,0.06725,0.00075,0.001,5e-10
391,0.06775,0.00075,0.001,5e-10
392,0.06825,0.00075,0.001,5e-10
393,0.06875,0.00075,0.001,5e-10
394,0.06925,0.00075,0.001,5e-10
395,0.06975,0.00075,0.001,5e-10
396,0.07025,0.00075,0.001,5e-10
397,0.07075,0.00075,0.001,5e-10
398,0.07125,0.00075,0.001,5e-10
399,0.07175,0.00075,0.001,5e-10
400,0.07225,0.00075,0.001,5e-10
401,0.07275,0.00075,0.001,5e-10
402,0.07325,0.00075,0.001,5e-10
403,0.07375,0.00075,0.001,5e-10
404,0.07425,0.00075,0.001,5e-10
405,0.07475,0.00075,0.001,5e-10
